Source.Name,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
season-0809,28/09/2008,Ath Bilbao,Getafe,0,1,A,0,0,D,14,9,6,3,20,14,9,3,3,3,0,0
season-0809,28/09/2008,Ath Madrid,Sevilla,0,1,A,0,1,A,18,10,1,1,23,22,8,4,3,5,0,0
season-0809,28/09/2008,Malaga,Valladolid,2,1,H,1,0,H,12,15,4,3,21,19,5,3,3,3,0,0
season-0809,28/09/2008,Numancia,Osasuna,0,0,D,0,0,D,4,8,0,1,19,20,6,3,2,3,1,0
season-0809,28/09/2008,Santander,Mallorca,1,2,A,1,1,D,18,16,7,9,13,20,5,3,3,4,0,0
season-0809,28/09/2008,Valencia,La Coruna,4,2,H,1,1,D,24,7,9,3,16,12,5,9,2,2,0,0
season-0809,04/10/2008,Barcelona,Ath Madrid,6,1,H,5,1,H,19,7,8,2,11,18,5,1,1,5,0,0
season-0809,04/10/2008,Villarreal,Betis,2,1,H,0,1,A,13,17,4,7,16,26,6,7,5,5,0,0
season-0809,05/10/2008,Getafe,Almeria,2,2,D,0,0,D,17,13,7,7,8,10,4,7,2,2,0,0
season-0809,05/10/2008,La Coruna,Numancia,1,0,H,1,0,H,13,10,1,3,20,20,4,4,1,3,0,0
season-0809,05/10/2008,Mallorca,Sp Gijon,0,2,A,0,1,A,27,8,9,3,15,20,8,3,1,3,0,0
season-0809,05/10/2008,Osasuna,Santander,0,1,A,0,0,D,6,6,4,4,13,18,8,2,3,4,1,0
season-0809,05/10/2008,Real Madrid,Espanol,2,2,D,2,2,D,24,10,6,4,19,10,0,1,3,1,0,0
season-0809,05/10/2008,Recreativo,Malaga,0,4,A,0,2,A,11,13,2,8,23,18,6,5,2,1,0,0
season-0809,05/10/2008,Sevilla,Ath Bilbao,4,0,H,2,0,H,13,4,9,1,3,4,5,7,2,4,0,0
season-0809,05/10/2008,Valladolid,Valencia,0,1,A,0,0,D,19,8,4,2,18,18,10,1,1,4,0,0
season-0809,18/10/2008,Ath Madrid,Real Madrid,1,2,A,0,1,A,20,20,6,11,18,14,10,4,5,2,1,1
season-0809,18/10/2008,Espanol,Villarreal,0,0,D,0,0,D,8,14,3,2,15,9,4,7,3,2,0,0
season-0809,19/10/2008,Almeria,Sevilla,0,1,A,0,0,D,13,10,5,3,15,17,0,4,1,3,0,0
season-0809,19/10/2008,Ath Bilbao,Barcelona,0,1,A,0,0,D,9,14,3,3,17,19,7,5,3,3,0,0
season-0809,19/10/2008,Betis,Mallorca,3,0,H,2,0,H,17,15,6,4,12,15,5,3,2,3,0,0
season-0809,19/10/2008,Malaga,Getafe,2,1,H,2,1,H,15,11,5,7,21,19,4,3,3,4,0,0
season-0809,19/10/2008,Santander,La Coruna,0,0,D,0,0,D,14,7,1,2,19,20,7,2,2,2,1,0
season-0809,19/10/2008,Sp Gijon,Osasuna,2,1,H,2,1,H,8,8,3,3,27,20,3,3,7,2,0,1
season-0809,19/10/2008,Valencia,Numancia,4,0,H,1,0,H,18,11,7,5,14,10,6,7,0,0,0,0
